lot name,spaces available,time
Big Springs,215,8.25
Lot 6,248,8.25
Lot 26,306,8.25
Lot 32,160,8.25
Lot 30,1251,8.25
Big Springs,212,8.33
Lot 6,244,8.33
Lot 26,298,8.33
Lot 32,155,8.33
Lot 30,1207,8.33
Big Springs,211,8.42
Lot 6,240,8.42
Lot 26,294,8.42
Lot 32,153,8.42
Lot 30,1160,8.42
Big Springs,210,8.5
Lot 6,234,8.5
Lot 26,286,8.5
Lot 32,148,8.5
Lot 30,1091,8.5
Big Springs,208,8.58
Lot 6,230,8.58
Lot 26,280,8.58
Lot 32,143,8.58
Lot 30,1018,8.58
Big Springs,206,8.67
Lot 6,223,8.67
Lot 26,271,8.67
Lot 32,136,8.67
Lot 30,930,8.67
Big Springs,207,8.75
Lot 6,216,8.75
Lot 26,262,8.75
Lot 32,123,8.75
Lot 30,930,8.75
Big Springs,204,8.83
Lot 6,210,8.83
Lot 26,253,8.83
Lot 32,109,8.83
Lot 30,810,8.83
Big Springs,205,8.92
Lot 6,197,8.92
Lot 26,244,8.92
Lot 32,89,8.92
Lot 30,679,8.92
Big Springs,205,9
Lot 6,177,9
Lot 26,221,9
Lot 32,65,9
Lot 30,482,9
Big Springs,202,9.17
Lot 6,165,9.17
Lot 26,221,9.17
Lot 32,44,9.17
Lot 30,361,9.17
Big Springs,201,9.33
Lot 6,158,9.33
Lot 26,215,9.33
Lot 32,34,9.33
Lot 30,308,9.33
Big Springs,200,9.42
Lot 6,149,9.42
Lot 26,216,9.42
Lot 32,23,9.42
Lot 30,268,9.42
Big Springs,200,9.5
Lot 6,146,9.5
Lot 26,211,9.5
Lot 32,14,9.5
Lot 30,268,9.5
Big Springs,201,9.58
Lot 6,144,9.58
Lot 26,200,9.58
Lot 32,0,9.58
Lot 30,206,9.58
Big Springs,202,9.67
Lot 6,141,9.67
Lot 26,192,9.67
Lot 32,0,9.67
Lot 30,158,9.67
Big Springs,201,9.75
Lot 6,138,9.75
Lot 26,186,9.75
Lot 32,0,9.75
Lot 30,120,9.75
Big Springs,201,9.83
Lot 6,133,9.83
Lot 26,171,9.83
Lot 32,0,9.83
Lot 30,68,9.83
Big Springs,198,9.92
Lot 6,127,9.92
Lot 26,156,9.92
Lot 32,0,9.92
Lot 30,51,9.92
Big Springs,197,10
Lot 6,125,10
Lot 26,140,10
Lot 32,0,10
Lot 30,35,10
Big Springs,197,10.08
Lot 6,124,10.08
Lot 26,131,10.08
Lot 32,0,10.08
Lot 30,35,10.08
Big Springs,196,10.17
Lot 6,123,10.17
Lot 26,132,10.17
Lot 32,0,10.17
Lot 30,14,10.17
Big Springs,196,10.25
Lot 6,119,10.25
Lot 26,124,10.25
Lot 32,0,10.25
Lot 30,17,10.25
Big Springs,197,10.33
Lot 6,119,10.33
Lot 26,124,10.33
Lot 32,0,10.33
Lot 30,14,10.33
Big Springs,198,10.42
Lot 6,117,10.42
Lot 26,125,10.42
Lot 32,0,10.42
Lot 30,22,10.42
Big Springs,197,10.5
Lot 6,115,10.5
Lot 26,122,10.5
Lot 32,0,10.5
Lot 30,9,10.5
Big Springs,196,10.58
Lot 6,114,10.58
Lot 26,113,10.58
Lot 32,0,10.58
Lot 30,8,10.58
Big Springs,197,10.67
Lot 6,112,10.67
Lot 26,110,10.67
Lot 32,0,10.67
Lot 30,1,10.67
Big Springs,198,10.75
Lot 6,108,10.75
Lot 26,103,10.75
Lot 32,0,10.75
Lot 30,1,10.75
Big Springs,199,10.83
Lot 6,102,10.83
Lot 26,99,10.83
Lot 32,0,10.83
Lot 30,0,10.83
Big Springs,198,10.92
Lot 6,100,10.92
Lot 26,89,10.92
Lot 32,0,10.92
Lot 30,0,10.92
Big Springs,198,11
Lot 6,96,11
Lot 26,88,11
Lot 32,0,11
Lot 30,0,11
Big Springs,196,11.08
Lot 6,98,11.08
Lot 26,92,11.08
Lot 32,0,11.08
Lot 30,0,11.08
Big Springs,198,11.17
Lot 6,98,11.17
Lot 26,88,11.17
Lot 32,0,11.17
Lot 30,0,11.17
Big Springs,198,11.25
Lot 6,100,11.25
Lot 26,82,11.25
Lot 32,0,11.25
Lot 30,0,11.25
Big Springs,197,11.33
Lot 6,99,11.33
Lot 26,82,11.33
Lot 32,1,11.33
Lot 30,0,11.33
Big Springs,197,11.42
Lot 6,98,11.42
Lot 26,80,11.42
Lot 32,0,11.42
Lot 30,13,11.42
Big Springs,194,11.5
Lot 6,97,11.5
Lot 26,82,11.5
Lot 32,0,11.5
Lot 30,10,11.5
Big Springs,195,11.58
Lot 6,98,11.58
Lot 26,77,11.58
Lot 32,0,11.58
Lot 30,6,11.58
Big Springs,196,11.67
Lot 6,98,11.67
Lot 26,72,11.67
Lot 32,0,11.67
Lot 30,0,11.67
Big Springs,195,11.75
Lot 6,96,11.75
Lot 26,70,11.75
Lot 32,0,11.75
Lot 30,0,11.75
Big Springs,194,11.83
Lot 6,93,11.83
Lot 26,68,11.83
Lot 32,0,11.83
Lot 30,0,11.83
Big Springs,193,11.92
Lot 6,90,11.92
Lot 26,67,11.92
Lot 32,0,11.92
Lot 30,0,11.92
Big Springs,195,12
Lot 6,90,12
Lot 26,70,12
Lot 32,0,12
Lot 30,0,12
Big Springs,193,12.08
Lot 6,88,12.08
Lot 26,72,12.08
Lot 32,0,12.08
Lot 30,0,12.08
Big Springs,195,12.17
Lot 6,91,12.17
Lot 26,70,12.17
Lot 32,2,12.17
Lot 30,0,12.17
Big Springs,195,12.25
Lot 6,95,12.25
Lot 26,70,12.25
Lot 32,12,12.25
Lot 30,28,12.25
Big Springs,196,12.33
Lot 6,93,12.33
Lot 26,73,12.33
Lot 32,12,12.33
Lot 30,83,12.33
Big Springs,196,12.42
Lot 6,95,12.42
Lot 26,77,12.42
Lot 32,11,12.42
Lot 30,102,12.42
Big Springs,194,12.5
Lot 6,96,12.5
Lot 26,76,12.5
Lot 32,7,12.5
Lot 30,102,12.5
Big Springs,192,12.58
Lot 6,99,12.58
Lot 26,74,12.58
Lot 32,7,12.58
Lot 30,103,12.58
Big Springs,190,12.67
Lot 6,96,12.67
Lot 26,69,12.67
Lot 32,6,12.67
Lot 30,95,12.67
Big Springs,192,12.75
Lot 6,95,12.75
Lot 26,69,12.75
Lot 32,5,12.75
Lot 30,70,12.75
Big Springs,194,12.83
Lot 6,93,12.83
Lot 26,69,12.83
Lot 32,3,12.83
Lot 30,64,12.83
Big Springs,197,12.92
Lot 6,94,12.92
Lot 26,66,12.92
Lot 32,0,12.92
Lot 30,39,12.92
Big Springs,197,13
Lot 6,89,13
Lot 26,63,13
Lot 32,3,13
Lot 30,25,13
Big Springs,196,13.08
Lot 6,88,13.08
Lot 26,62,13.08
Lot 32,4,13.08
Lot 30,18,13.08
Big Springs,194,13.17
Lot 6,89,13.17
Lot 26,63,13.17
Lot 32,6,13.17
Lot 30,22,13.17
Big Springs,196,13.25
Lot 6,91,13.25
Lot 26,62,13.25
Lot 32,5,13.25
Lot 30,50,13.25
Big Springs,198,13.33
Lot 6,90,13.33
Lot 26,65,13.33
Lot 32,6,13.33
Lot 30,94,13.33
Big Springs,198,13.42
Lot 6,88,13.42
Lot 26,73,13.42
Lot 32,2,13.42
Lot 30,100,13.42
Big Springs,200,13.5
Lot 6,84,13.5
Lot 26,77,13.5
Lot 32,2,13.5
Lot 30,91,13.5
Big Springs,199,13.58
Lot 6,84,13.58
Lot 26,77,13.58
Lot 32,1,13.58
Lot 30,72,13.58
Big Springs,200,13.67
Lot 6,84,13.67
Lot 26,78,13.67
Lot 32,0,13.67
Lot 30,54,13.67
Big Springs,198,13.75
Lot 6,83,13.75
Lot 26,75,13.75
Lot 32,0,13.75
Lot 30,35,13.75
Big Springs,196,13.83
Lot 6,84,13.83
Lot 26,70,13.83
Lot 32,0,13.83
Lot 30,13,13.83
Big Springs,196,13.92
Lot 6,82,13.92
Lot 26,72,13.92
Lot 32,0,13.92
Lot 30,13,13.92
Big Springs,195,14
Lot 6,80,14
Lot 26,72,14
Lot 32,0,14
Lot 30,1,14
Big Springs,194,14.08
Lot 6,80,14.08
Lot 26,71,14.08
Lot 32,0,14.08
Lot 30,5,14.08
Big Springs,196,14.17
Lot 6,80,14.17
Lot 26,70,14.17
Lot 32,6,14.17
Lot 30,10,14.17
Big Springs,195,14.25
Lot 6,84,14.25
Lot 26,74,14.25
Lot 32,14,14.25
Lot 30,46,14.25
Big Springs,196,14.33
Lot 6,86,14.33
Lot 26,77,14.33
Lot 32,18,14.33
Lot 30,101,14.33
Big Springs,196,14.42
Lot 6,90,14.42
Lot 26,85,14.42
Lot 32,19,14.42
Lot 30,141,14.42
Big Springs,197,14.5
Lot 6,89,14.5
Lot 26,92,14.5
Lot 32,20,14.5
Lot 30,153,14.5
Big Springs,198,14.58
Lot 6,87,14.58
Lot 26,92,14.58
Lot 32,19,14.58
Lot 30,152,14.58
Big Springs,202,14.67
Lot 6,84,14.67
Lot 26,91,14.67
Lot 32,17,14.67
Lot 30,149,14.67
Big Springs,201,14.75
Lot 6,84,14.75
Lot 26,90,14.75
Lot 32,14,14.75
Lot 30,144,14.75
Big Springs,203,14.83
Lot 6,82,14.83
Lot 26,87,14.83
Lot 32,11,14.83
Lot 30,125,14.83
Big Springs,203,14.92
Lot 6,81,14.92
Lot 26,79,14.92
Lot 32,9,14.92
Lot 30,91,14.92
Big Springs,202,15
Lot 6,80,15
Lot 26,80,15
Lot 32,6,15
Lot 30,85,15
Big Springs,201,15.08
Lot 6,81,15.08
Lot 26,83,15.08
Lot 32,5,15.08
Lot 30,96,15.08
Big Springs,201,15.17
Lot 6,82,15.17
Lot 26,81,15.17
Lot 32,14,15.17
Lot 30,129,15.17
Big Springs,201,15.25
Lot 6,84,15.25
Lot 26,93,15.25
Lot 32,31,15.25
Lot 30,129,15.25
Big Springs,204,15.33
Lot 6,81,15.33
Lot 26,102,15.33
Lot 32,42,15.33
Lot 30,232,15.33
Big Springs,203,15.42
Lot 6,84,15.42
Lot 26,129,15.42
Lot 32,44,15.42
Lot 30,302,15.42
Big Springs,204,15.5
Lot 6,84,15.5
Lot 26,133,15.5
Lot 32,51,15.5
Lot 30,323,15.5
Big Springs,207,15.58
Lot 6,83,15.58
Lot 26,136,15.58
Lot 32,50,15.58
Lot 30,342,15.58
Big Springs,208,15.67
Lot 6,80,15.67
Lot 26,139,15.67
Lot 32,54,15.67
Lot 30,369,15.67
Big Springs,209,15.75
Lot 6,78,15.75
Lot 26,143,15.75
Lot 32,58,15.75
Lot 30,396,15.75
Big Springs,211,15.83
Lot 6,76,15.83
Lot 26,147,15.83
Lot 32,63,15.83
Lot 30,423,15.83
Big Springs,212,15.92
Lot 6,73,15.92
Lot 26,151,15.92
Lot 32,67,15.92
Lot 30,450,15.92
Big Springs,214,16
Lot 6,71,16
Lot 26,155,16
Lot 32,72,16
Lot 30,478,16
Big Springs,215,16.08
Lot 6,69,16.08
Lot 26,159,16.08
Lot 32,76,16.08
Lot 30,505,16.08
Big Springs,216,16.17
Lot 6,67,16.17
Lot 26,163,16.17
Lot 32,80,16.17
Lot 30,532,16.17
Big Springs,218,16.25
Lot 6,64,16.25
Lot 26,167,16.25
Lot 32,85,16.25
Lot 30,559,16.25
Big Springs,219,16.33
Lot 6,62,16.33
Lot 26,171,16.33
Lot 32,89,16.33
Lot 30,586,16.33
Big Springs,221,16.42
Lot 6,60,16.42
Lot 26,175,16.42
Lot 32,94,16.42
Lot 30,614,16.42
Big Springs,222,16.5
Lot 6,58,16.5
Lot 26,179,16.5
Lot 32,98,16.5
Lot 30,641,16.5
Big Springs,223,16.58
Lot 6,55,16.58
Lot 26,183,16.58
Lot 32,102,16.58
Lot 30,668,16.58
Big Springs,225,16.67
Lot 6,53,16.67
Lot 26,187,16.67
Lot 32,107,16.67
Lot 30,695,16.67
Big Springs,226,16.75
Lot 6,51,16.75
Lot 26,191,16.75
Lot 32,111,16.75
Lot 30,722,16.75
Big Springs,228,16.83
Lot 6,49,16.83
Lot 26,195,16.83
Lot 32,116,16.83
Lot 30,750,16.83
Big Springs,228,16.92
Lot 6,42,16.92
Lot 26,196,16.92
Lot 32,118,16.92
Lot 30,750,16.92
Big Springs,226,17
Lot 6,30,17
Lot 26,199,17
Lot 32,120,17
Lot 30,766,17
Big Springs,226,17.08
Lot 6,40,17.08
Lot 26,204,17.08
Lot 32,124,17.08
Lot 30,792,17.08
Big Springs,226,17.17
Lot 6,61,17.17
Lot 26,203,17.17
Lot 32,133,17.17
Lot 30,836,17.17
Big Springs,226,17.25
Lot 6,72,17.25
Lot 26,212,17.25
Lot 32,145,17.25
Lot 30,962,17.25
Big Springs,228,17.33
Lot 6,80,17.33
Lot 26,228,17.33
Lot 32,157,17.33
Lot 30,1077,17.33
Big Springs,229,17.42
Lot 6,82,17.42
Lot 26,238,17.42
Lot 32,163,17.42
Lot 30,1077,17.42
Big Springs,230,17.5
Lot 6,85,17.5
Lot 26,247,17.5
Lot 32,164,17.5
Lot 30,1132,17.5
Big Springs,233,17.58
Lot 6,82,17.58
Lot 26,251,17.58
Lot 32,167,17.58
Lot 30,1159,17.58
Big Springs,232,17.67
Lot 6,81,17.67
Lot 26,258,17.67
Lot 32,168,17.67
Lot 30,1179,17.67
Big Springs,236,17.75
Lot 6,85,17.75
Lot 26,263,17.75
Lot 32,171,17.75
Lot 30,1189,17.75
Big Springs,236,17.83
Lot 6,80,17.83
Lot 26,267,17.83
Lot 32,172,17.83
Lot 30,1193,17.83
Big Springs,234,17.92
Lot 6,79,17.92
Lot 26,271,17.92
Lot 32,173,17.92
Lot 30,1193,17.92
Big Springs,234,18
Lot 6,89,18
Lot 26,271,18
Lot 32,176,18
Lot 30,1200,18
Big Springs,234,18.08
Lot 6,96,18.08
Lot 26,273,18.08
Lot 32,177,18.08
Lot 30,1217,18.08
Big Springs,237,18.17
Lot 6,100,18.17
Lot 26,276,18.17
Lot 32,183,18.17
Lot 30,1249,18.17
Big Springs,236,18.25
Lot 6,109,18.25
Lot 26,285,18.25
Lot 32,186,18.25
Lot 30,1300,18.25
Big Springs,237,18.33
Lot 6,113,18.33
Lot 26,289,18.33
Lot 32,188,18.33
Lot 30,1346,18.33
Big Springs,237,18.42
Lot 6,113,18.42
Lot 26,291,18.42
Lot 32,192,18.42
Lot 30,1382,18.42
Big Springs,238,18.5
Lot 6,117,18.5
Lot 26,298,18.5
Lot 32,195,18.5
Lot 30,1399,18.5
Big Springs,242,18.58
Lot 6,118,18.58
Lot 26,297,18.58
Lot 32,196,18.58
Lot 30,1413,18.58
Big Springs,241,18.67
Lot 6,119,18.67
Lot 26,300,18.67
Lot 32,199,18.67
Lot 30,1430,18.67
Big Springs,241,18.75
Lot 6,120,18.75
Lot 26,300,18.75
Lot 32,200,18.75
Lot 30,1430,18.75
Big Springs,242,18.83
Lot 6,115,18.83
Lot 26,306,18.83
Lot 32,200,18.83
Lot 30,1458,18.83
Big Springs,245,18.92
Lot 6,116,18.92
Lot 26,309,18.92
Lot 32,201,18.92
Lot 30,1482,18.92
Big Springs,248,19
Lot 6,128,19
Lot 26,310,19
Lot 32,201,19
Lot 30,1514,19
